Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
Blockchain Conference of OLPORTAL and Hedera Hashgraph Projects: The Presentation of Our SEO,"SEO of the OLPORTAL project, Artyom Evdokimov, was also among the number of speakers address the recent blockchain conference in Krasnodar that was held by Hedera Hashgraph…",OLPORTAL,4 min read,"May 12,",2018,3.1K,8 responses
Programmable Blockchains in Context: Ethereum’s Future,,ConsenSys Media,26 min read,"Oct 21,",2015,2.1K,56 responses
Why Blockchain Needs New Business Models,Blockchain has been praised as being the most innovative technological development since…,,5 min read,"Mar 24,",2018,6.6K,559 responses
The Ultimate Guide To Understanding The Basics of Blockchain and Cryptocurrencies,,,7 min read,"Dec 22,",2017,6.3K,14 responses
How does blockchain work in 7 steps — A clear and simple explanation.,"In 2017 the spirit of Bitcoin really got out of the bottle. After years of silence, Bitcoin’s valuation suddenly rapidly rose from about $1,000 to almost $20,000. A lot of people reinvented themselves as…",Good Audience,15 min read,"May 6,",2018,5.5K,27 responses
50+ Examples of How Blockchains are Taking Over the World,,,11 min read,"May 31,",2018,5.4K,48 responses
Let’s Make the Tiniest Blockchain Bigger,,Crypto Currently,5 min read,"Jul 23,",2017,6.9K,56 responses
"Blockchain Gaming Company MIXMARVEL has partnered with Refereum on their premier title, HyperDragons",,Refereum,3 min read,"Dec 7,",2018,27K,83 responses
How does the Blockchain Work? (Part 1),,The Blockchain Review by Intrepid,7 min read,"Oct 3,",2016,4.1K,32 responses
Creating Your First Blockchain with Java. Part 2 — Transactions.,,Programmers Blockchain,8 min read,"Jan 20,",2018,8.4K,135 responses
Code your own blockchain in less than 200 lines of Go!,,,10 min read,"Jan 29,",2018,5.3K,38 responses
,,LittlePhilNews,6 min read,"Jun 18,",2018,31K,1 response
What Is Blockchain? Simplest Introduction To The Blockchain,,MindOrks,6 min read,"Jul 30,",2018,5.3K,26 responses
ELI5: What do we mean by “blockchains are trustless”?,,,7 min read,"Feb 3,",2018,6.1K,26 responses
What is Blockchain? Simply Explained by a 15-Year-Old,,The Startup,5 min read,Jun 20,,5.1K,41 responses
What Could Blockchain Do for Politics?,,,4 min read,"Jan 8,",2018,5.8K,16 responses
Binance Blockchain Week: Juggernaut (JGN) Featured NFT Panel!,,JGN DeFi,2 min read,Jan 26,,3.5K,3 responses
Mango Market: Menekan Biaya Jual Hingga 0 dengan Blockchain Solana,,,2 min read,Apr 12,,2.5K,54 responses
Decentralized Blockchain Governance,,,8 min read,"Jun 21,",2018,9.6K,54 responses
Blockchain Is A New Model That Makes The Existing Model Obsolete,,Future Crunch,15 min read,"Oct 12,",2017,5.5K,13 responses
Why You Should Learn to Build Blockchain Apps,,Loom Network,6 min read,"Feb 16,",2018,5.8K,9 responses
How to exchange funds between blockchains without third-party risks?,,Atomic Wallet,3 min read,"Jul 12,",2018,12.5K,2 responses
Beginner’s Guide to Blockchain — Explaining it to a 6 Year Old,,,7 min read,"Aug 23,",2018,6.1K,9 responses
Reflections on the Best Blockchain Tweets Ever Written,,HackerNoon.com,15 min read,"Jul 15,",2017,3.1K,24 responses
Blockchain Is About to Destroy a Centuries-Old Industry,,,5 min read,"Sep 2,",2018,4.4K,20 responses
Blockchain’s Destiny: The Utility-Token,"After massive gains, doomsday prophets dubbed the crypto market a bubble wrought by…",,4 min read,"Apr 3,",2018,3K,8 responses
The Product Manager’s guide to the Blockchain — Part 1,,,12 min read,"Dec 24,",2016,3.3K,29 responses
What we learned from designing an academic certificates system on the blockchain,,MIT MEDIA LAB,11 min read,"Jun 3,",2016,1.5K,17 responses
"6 Technology Trends That Aren’t AI, Blockchain or VR.",,,6 min read,"Mar 10,",2017,1K,26 responses
"The producer, the thief, the movie, and its lovers: How blockchain will help indie films",,Qravity,5 min read,"May 31,",2018,1.5K,10 responses
Leading American Crypto Investment Platform Superbloom Launches World’s Biggest Blockchain Investment Conference in…,,,2 min read,"Jan 10,",2018,2.7K,2 responses
Blockchain Design Principles,,IBM Design,7 min read,"Mar 21,",2017,3.5K,8 responses
Why Blockchain is Not the Answer,There’s a persistent myth that blockchain tech is brand new and that if only given enough time…,,8 min read,"May 7,",2019,6.1K,71 responses
Learn to securely share files on the blockchain with IPFS!,,,10 min read,"Feb 20,",2018,4.3K,47 responses
Ethereum’s Vitalik Buterin on the Bitcoin Bubble and Running a $125bn Blockchain,,Financial Times,10 min read,"Apr 20,",2018,4.6K,9 responses
What Could Blockchain Do for Music?,,,6 min read,"Jan 24,",2018,2.7K,8 responses
2018: Blockchain Scaling > All Else,2017 was the year of blockchain hype.,ThunderCore,6 min read,"Jun 15,",2018,3.4K,7 responses
The blockchain primer that George Washington would understand,,,13 min read,"Feb 15,",2018,4.2K,20 responses
Your Online Data Is In Peril. The Blockchain Could Save It,,OneZero,6 min read,"Jun 18,",2018,4.8K,21 responses
VeChainX — Decentralized Exchange for the New Equity Blockchain!,"VeChainX is establishing a unique Decentralized Exchange Platform that will give opportunities to traders to trade Cryptocurrencies With less Fees, Anonymous and they able…",,3 min read,"Jul 19,",2018,11.6K,16 responses
When do you need blockchain? Decision models.,,,6 min read,"Aug 4,",2016,3.1K,18 responses
The dApp Developer Stack: The Blockchain Industry Barometer,,,2 min read,"Apr 30,",2017,1.5K,16 responses
VR is a Killer App for Blockchains,I spent a weekend with 10 execs of some of the largest companies working on VR to talk about how to…,,4 min read,"Feb 14,",2017,1.6K,43 responses
Blockchain and medicine market,,,5 min read,"Oct 3,",2018,2.8K,5 responses
Cherry & the Internet of Blockchains,,,5 min read,Jul 14,,3.8K,2 responses
,,Cuepoint,15 min read,"Nov 24,",2015,577,28 responses
Ushering in a new era with a new name: Blockchain.com,,@blockchain,3 min read,"Dec 17,",2019,3K,41 responses
"Getting started with Bitcoin, blockchains, and cryptoassets",,HackerNoon.com,8 min read,"Dec 15,",2017,3.7K,9 responses
Designing for Blockchain,,Emerson Stone,7 min read,"Dec 22,",2017,3.1K,8 responses
Blockchain vs. Distributed Ledger Technologies,,ConsenSys Media,24 min read,"Apr 5,",2018,3.5K,14 responses
Inside the Jordan Refugee Camp That Runs on Blockchain,,MIT Technology Review,10 min read,"Apr 12,",2018,4.2K,19 responses
Blockchain Technology and Smart Contracts: 6 Benefits for Video Content Creators,,,5 min read,"May 29,",2018,1.3K,2 responses
Can an Entire City Run on the Blockchain?,,HackerNoon.com,4 min read,"Feb 3,",2018,3.2K,30 responses
A Brief History of Blockchain: An Investor’s Perspective,,,14 min read,"Jul 8,",2017,2.2K,51 responses
Blockchain: how mining works and transactions are processed in seven steps,,Good Audience,8 min read,"May 3,",2018,3.3K,32 responses
"Here’s how I built a private blockchain network, and you can too",,,11 min read,"Sep 4,",2017,3.7K,58 responses
"MEDIA Protocol, Marketing And Blockchain — Part 4",,,4 min read,"May 25,",2018,1.8K,1 response
Men Explain Blockchain to Me,,,3 min read,"Oct 10,",2018,3.7K,21 responses
,,,7 min read,"Apr 22,",2018,3K,4 responses
Cutting out the middle men: Blockchain in the solar industry,By Molly Lempriere. Original article — http://www.power-technology.com/features/cutting-middle-men-blockchain-solar-industry/,Hyperion Fund,6 min read,"Feb 21,",2018,3.3K,
Designing for Blockchain: What’s Different and What’s at Stake,,ConsenSys Media,17 min read,"Mar 22,",2018,3.7K,27 responses
How Blockchain Technology Can Accelerate Stem Cell Research,,HackerNoon.com,4 min read,"Oct 7,",2018,2.2K,1 response
Explaining Blockchain with Pokemon Cards,,Good Audience,7 min read,"Nov 30,",2018,3.7K,9 responses
The future of AI is on blockchain,,Good Audience,5 min read,"Aug 6,",2018,5K,20 responses
Blockchain Platforms & Tech to Watch in 2019,"Ethereum has been the dominant smart contract platform since 2015, but the race to…",The Challenge,14 min read,"Dec 29,",2018,3.3K,29 responses
Top 6 Free Online Blockchain Course to break into the industry today,,BuyUcoin Talks,5 min read,"Jun 26,",2017,2.8K,22 responses
Electric Vehicle Ecosystem on Blockchain,,,4 min read,"May 6,",2018,670,3 responses
"Understanding Blockchain Fundamentals, Part 2: Proof of Work & Proof of Stake",,Loom Network,5 min read,"Dec 8,",2017,3.2K,9 responses
MEDIA Protocol And Blockchain Security — Part 6,,,4 min read,"May 11,",2018,1.3K,
Introducing Hydra — API access to any Blockchain,,Blocknet,5 min read,Mar 29,,21K,
Blockchain for Dummies,,The Startup,7 min read,"Dec 2,",2018,2.3K,10 responses
What Could Blockchain Do for Healthcare?,,,5 min read,"Feb 20,",2018,2.2K,8 responses
The World Is Waking Up to What Blockchain Is Doing to Money,,,6 min read,"Mar 9,",2018,2.8K,8 responses
“Blockchain is outdated”,,,4 min read,"Nov 22,",2017,4.1K,9 responses
Chiccocoin: Learn what is a Blockchain by creating one in NodeJS,,Caffeina Developers,6 min read,"Feb 7,",2018,2.7K,7 responses
Blockchain Primitives and their Advantages for Web 3.0 Development,,,5 min read,"Sep 8,",2019,485,
"MEDIA Protocol At Token 2049, Deconomy And Penn Blockchain Conferences",,,2 min read,"Apr 9,",2018,1K,1 response
Blockchain explained in 1000 words,,Good Audience,6 min read,"Sep 17,",2018,3.5K,16 responses
What is this Blockchain Thing?,I live in the world of blockchain and smart contracts. I hear people using terms that remind me of when…,Startup Grind,5 min read,"Feb 4,",2017,506,24 responses
Blockchains should not be democracies,,HackerNoon.com,10 min read,"Apr 26,",2018,3.3K,37 responses
JulPad: a complete guide to (crowd)fund your blockchain startup,,,3 min read,Apr 8,,2K,3 responses
Consensus in Blockchain Systems. In Short.,,,9 min read,"Jan 27,",2017,2.4K,23 responses
Blockchain.io Launch Looms,Blockchain.io MVP — a first look at platform interfaces for the upcoming launch of the first cryptocurrency…,DataDrivenInvestor,3 min read,"Jul 24,",2018,1.4K,1 response
From AI to Blockchain to Data: Meet Ocean,,Ocean Protocol,5 min read,"Sep 18,",2017,2.4K,6 responses
Blockchain Doesn’t Mean Cryptocurrency,,,3 min read,"Jul 2,",2018,1.2K,8 responses
"Introducing The IAP: A New Blockchain Platform 100% Focused On Cybersecurity, Created By Former",,,8 min read,"Feb 18,",2019,3.7K,4 responses
,,,1 min read,Jul 4,,5.8K,13 responses
The Four Major Things Missing in The Blockchain Industry,,Blockchain at Berkeley,8 min read,"Jun 14,",2018,2.6K,18 responses
Role of Blockchain and Cryptocurrencies in the Energy Sector,,,2 min read,"Mar 2,",2019,3.6K,2 responses
"Firms need business model change, not blockchain",,aperture.hub,13 min read,"Jun 1,",2018,2.2K,5 responses
Blockchains for Artificial Intelligence,,Ocean Protocol,23 min read,"Jan 3,",2017,1.6K,19 responses
The future will be tokenized: how blockchain will free you to control your financial destiny,,The Startup,8 min read,"Apr 17,",2018,3.1K,17 responses
Is The Future Of Blockchains DAGs ?— 5 Takeaways From The Hashgraph Event In NYC on March 13th,,JustStable,6 min read,"Mar 25,",2018,3.5K,13 responses
Games Will Be the Catalyst for Blockchain Mass Adoption,,Loom Network,16 min read,"Sep 24,",2018,4.8K,19 responses
How Does Blockchain Technology Work?,,HackerNoon.com,29 min read,"Jul 18,",2018,2.7K,10 responses
An Honest Review Of Blockchain Whispers (By A Long-Time Follower),,,13 min read,"Oct 14,",2018,15.1K,13 responses
How to build a blockchain network using Hyperledger Fabric and Composer,,We’ve moved to freeCodeCamp.org/news,15 min read,"Aug 25,",2018,2.2K,45 responses
Blockchain & Crypto Hype Cycle: Where We’re at and What’s Coming Next,,The Blockchain Review by Intrepid,11 min read,"Nov 5,",2018,2.7K,18 responses
10 things blockchain isn’t,Even in 2017 blockchain technology was considered overhyped. Everybody and their cousin began to believe that…,HackerNoon.com,6 min read,"Oct 5,",2018,2.6K,26 responses
Welcome to the blockchain nation,,"E-Residency Blog, E-residentsuse blogi",7 min read,"Jul 7,",2017,2.1K,20 responses
What is Blockchain and What can be its Role in the Real Estate Industry?,,cestates-io,3 min read,"Mar 27,",2019,3.7K,17 responses
The Difference Between Blockchains & Distributed Ledger Technology,,Towards Data Science,3 min read,"Feb 20,",2018,2.2K,19 responses
Minter Blockchain Token BIP on CoinMarketCap,"Today, CoinMarketCap — the world’s leading crypto market data provider — has…",,2 min read,"Jul 14,",2020,12.7K,20 responses
The Meaning of Decentralization,,,11 min read,"Feb 6,",2017,22K,74 responses
Milestone Appointment for Caspian Crypto Trading Platform as it Expands its Reach,"BlockTower Capital Co-Founder Ari Paul Joins advisory board as Caspian announces new exchange connections, OTC desk, fund participation and Smart Order Router news",Caspian.tech Blog,2 min read,"Aug 13,",2018,85K,27 responses
Axie Infinity Integrates Chainlink Oracles!,This is an announcement we’ve been looking forward to for many months now.,,4 min read,"Nov 16,",2020,11K,33 responses
The Coming Epic Battle Between Crypto & FAMGA,Click here to subscribe to our weekly crypto newsletter,Quantum Economics,7 min read,"Sep 9,",2018,23K,43 responses
How I Turned $0 into $87 Million From Trading Cryptos In 2021,,,5 min read,Jul 11,,13.7K,71 responses
"DeFi Futures, perpetual contracts & derivative trading",In this update the iYield Team is bringing you an announcement that will shake the world of DeFi to its deepest depths. We have held this ace up in our sleeves for a while but it is time to present it to the world. Previously we have…,,5 min read,"Nov 8,",2020,9.7K,206 responses
I Worked Full Time in Crypto for Two Years and Didn’t Really Like What I Saw,,The Startup,21 min read,"Mar 1,",2020,7.4K,65 responses
The Web 3.0: The Web Transition Is Coming,,HackerNoon.com,9 min read,"Aug 27,",2018,5.5K,30 responses
IOTA: Cannot be used for IoT. Loss of funds may occur.,,Shitcoin.com,15 min read,"Feb 9,",2018,7.7K,76 responses
How To Become a Cardano Millionaire,,Yard Couch,6 min read,May 14,,4.2K,48 responses
Learn & Build a Javascript Blockchain,,,8 min read,"Dec 28,",2017,2.7K,23 responses
Blockchain Infrastructure Landscape: A First Principles Framing,,,14 min read,"Jul 15,",2017,1.3K,13 responses
How To: Create Your Own Private Ethereum Blockchain,,mercuryprotocol,5 min read,"Dec 8,",2017,2.3K,10 responses
Behavioral Crypto-Economics: The Challenge and Promise of Blockchain Incentive Design,,Lunar Ventures,10 min read,"Mar 16,",2018,2.8K,14 responses
Friendz at Dubai Unlock Blockchain Event 14–15 January,,Friendz,1 min read,"Jan 15,",2018,2.4K,3 responses
8 Disruptive Blockchain Projects to Be On the Lookout For in 2021,,DataDrivenInvestor,4 min read,Mar 3,,1.4K,18 responses
Making the world’s first blockchain phone call,,Pundi X,3 min read,"Oct 10,",2018,5.7K,30 responses
Ethereum Blockchain in a Real Project with 500k+ Users,,HackerNoon.com,11 min read,"May 29,",2018,2K,14 responses
"IOTA makes bright future for Internet of Things, it's not just a cryptocurrency based on blockchain",,,14 min read,"Jun 18,",2017,1.91K,23 responses
Will Blockchain(s) Eat the Marketplace Stack?,,Point Nine Land,13 min read,"Jan 20,",2017,850,11 responses
Explaining blockchain — how proof of work enables trustless consensus,"Blockchain technology, of which Bitcoin is an example, can be quite hard to understand. Mainly this is because core concepts tend to get lost among the complexity of non-essential details. This article tries to…",Keeping Stock,12 min read,"May 3,",2016,2.6K,10 responses
"The Three Eggs in a Distributed Basket: Wasm, Blockchain, and Reputation",,HackerNoon.com,4 min read,"Feb 27,",2019,1.6K,
"Understanding Blockchain Fundamentals, Part 3: Delegated Proof of Stake",,Loom Network,8 min read,"Jun 11,",2018,2.6K,11 responses
A Closer Look At Tether’s Blockchain,"A data-driven review of Tether’s transactions, “users,” and relationships",HackerNoon.com,6 min read,"Feb 9,",2018,2.9K,22 responses
Track blockchain transactions  with web3.js,,Pixel Point,6 min read,"Jun 20,",2018,6.1K,3 responses
A Beginner’s Guide to Blockchain Programming,I had a lot of questions on my quest to understand how Blockchain works. The…,HackerNoon.com,10 min read,"May 30,",2018,2.1K,8 responses
Build a Blockchain PoC Application using Hyperledger Fabric,,Coinmonks,11 min read,"Dec 7,",2018,1K,183 responses
Gemini Launches the Gemini dollar: U.S. Dollars on the Blockchain,,,2 min read,"Sep 10,",2018,3.3K,38 responses
"Something Extraordinary Is Happening in Blockchain and Cryptocurrency, and Most People Haven’t Noticed",,Inc Magazine,3 min read,"Oct 31,",2017,2.2K,9 responses
Radix and the Death of Blockchain,,HackerNoon.com,14 min read,"Aug 23,",2018,3.3K,23 responses
Mobility-as-a-Service on the Blockchain,,HackerNoon.com,4 min read,"Aug 25,",2017,1.5K,10 responses
"After 9 years of blockchain, killer apps emerge","Sure, we all know that Bitcoin and Ethereum represent killer apps — decentralized money, and a platform for governance, crowdfunding, and decentralized applications (dApps). But what will dApps on Ethereum be good for? Don’t worry, this story has…",,3 min read,"Jul 5,",2018,2.9K,6 responses
How blockchain could change the future of disaster response teams,,LittlePhilNews,4 min read,"Aug 14,",2018,6.1K,1 response
9 Things I Learned Working In Blockchain for 24 months,,Startups & Venture Capital,14 min read,"Feb 11,",2017,473,12 responses
How Blockchain is Shaping the Future of Finance,Written by Andy Christen,,5 min read,Jun 20,,3.1K,1 response
What You Need to Learn to become an Expert in Blockchain Tech,,,7 min read,"Dec 17,",2017,2.2K,12 responses
"200+ Thought Leaders in Crypto and Blockchain — The Ultimate Crypto List for Event Planners, Influencers and the Like",Content is available under Creative Commons Attribution-ShareAlike unless otherwise noted.,,14 min read,"Jan 18,",2018,2.9K,53 responses
I just made $222 for writing on the blockchain. This is just the beginning.,"Yesterday, I sent $222 to my bank account. I earned it for my writing, thanks blockchain technology. This is just the beginning.",,3 min read,"Sep 23,",2017,1.8K,17 responses
Build Crypto Bitcoin Trading Bot with Python Binance CCXT — How To Video Tutorials with Code,,,6 min read,"Apr 20,",2018,1.8K,15 responses
Code your own blockchain mining algorithm in Go!,,,13 min read,"Mar 4,",2018,1.92K,18 responses
"Polinate Introduces Advisors: Will, Mick & John",,Polinate Hive,3 min read,Aug 12,,4.5K,22 responses
"Solidity Learning: Revert(), Assert(), and Require() in Solidity, and the New REVERT Opcode in the EVM",,BlockChannel,6 min read,"Sep 28,",2017,3K,20 responses
Global monetary inflation. Can digital (crypto) currencies play a role?,,Blockchain Smart Solutions,5 min read,"Jul 19,",2018,1.3K,4 responses
What Is Web 3.0 & Why It Matters,Written by Max Mersch and Richard Muirhead,Fabric Ventures,7 min read,"Dec 31,",2019,2.6K,9 responses
“Binance Announces New Browser That Earns BNB”,,This Crypto Life,3 min read,Mar 4,,1.8K,22 responses
IOTA is the crypto-currency of the future,,,5 min read,"Nov 24,",2017,3.4K,11 responses
Elite Edge Node BETA now live on Testnet with Uptime Mining — announcing 4% TFUEL inflation on April 21,,Theta Network,3 min read,Mar 12,,1.2K,9 responses
Claim Your Egg & Let the Mystery Begin!,"To reward our early adopters, we’re offering everyone the chance to claim their stake in…",Polychain Monsters,2 min read,Mar 24,,3.9K,18 responses
"Yes, Now It’s Too Late to Buy Bitcoin",,Geek Culture,6 min read,Mar 31,,1.93K,32 responses
Welcome to the Fourth Industrial Revolution — 19 Blockchain Predictions for 2019,,ConsenSys Media,16 min read,"Jan 12,",2019,2.4K,19 responses
Interledger: How to Interconnect All Blockchains and Value Networks,,Xpring,7 min read,"Oct 3,",2018,2.5K,6 responses
What Could Blockchain Do for Journalism?,,,7 min read,"Feb 13,",2018,1.7K,6 responses
Understanding and building your own tiny blockchain in JavaScript,,Coinmonks,5 min read,"Sep 23,",2018,2K,8 responses
Blockchain Technology and Virtual Worlds — Part 1,,The Notice Board,7 min read,"Jun 13,",2018,1.5K,7 responses
"As a Co-Founding Member, VeChain helps establish the Shanghai Wine and Liquor Blockchain Alliance",,,4 min read,"Jun 7,",2018,3.4K,3 responses
Public Vs Private Blockchain In A Nutshell,When we try to understand the main difference between a public and private…,Coinmonks,9 min read,"Dec 12,",2018,1.7K,15 responses
"A Look Back, Before Moving Forward",,@blockchain,4 min read,"Jan 3,",2020,965,8 responses
Part 1: Introducing the VeChainThor Blockchain Transaction Model,,,6 min read,"Apr 29,",2018,5.4K,5 responses
,,ConsenSys Media,6 min read,"Aug 27,",2015,1.2K,4 responses
Blockchain and the Challengers,"Note: A small update is made to include Hedera hashgraph platform, a public ledger announced by Swirlds…",,8 min read,"Apr 2,",2018,2.4K,4 responses
Blockchain Loyalty Program in One Day,"In this article, we’ll discuss how to build a blockchain loyalty program on top of Minter in…",,4 min read,"Jul 24,",2020,12K,3 responses
The EOS Elephant in the Room,,Good Audience,7 min read,"Sep 24,",2018,3.2K,23 responses
"Blockchains, Cryptocurrencies & the New Decentralized Economy: Part 1 — A Gentle Introduction",,Blockchain at Berkeley,11 min read,"Jun 27,",2017,1.2K,28 responses
A-to-Z of Blockchain Consensus,Co-authored by Julian Koh & Cheryl Sew Hoy,Tendermint Blog,12 min read,"Feb 5,",2019,1.1K,5 responses
IoT Prosperity is Approaching on the Back of Blockchain,,kucoinexchange,4 min read,"Mar 29,",2019,857,2 responses
Whitepaper Deep Dive — Move: Facebook Libra Blockchain’s New Programming Language,,Coinmonks,11 min read,"Jun 19,",2019,1.8K,5 responses
Chainlink: Finding Real Value on the Blockchain,,,8 min read,"Jul 3,",2019,2.2K,9 responses
