Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
3 Future Programming Languages You Should Learn Between 2022 and 2030,,Better Programming,4 min read,Jul 13,,2.2K,28 responses
10 Ultimate Programming Jokes,,Level Up Coding,3 min read,Feb 2,,2.6K,13 responses
How JavaScript works: Event loop and the rise of Async programming + 5 ways to better coding with async/await,,SessionStack Blog,17 min read,"Oct 11,",2017,20K,41 responses
How to choose a laptop for programming,,We’ve moved to freeCodeCamp.org/news,5 min read,"Jul 25,",2017,5.5K,139 responses
"Functional Programming? Don’t Even Bother, It’s a Silly Toy",,Better Programming,13 min read,"Jul 29,",2019,15.9K,174 responses
"I wrote a programming language. Here’s how you can, too.",,We’ve moved to freeCodeCamp.org/news,10 min read,"Mar 31,",2017,11.8K,72 responses
Two Years of Functional Programming in JavaScript: Lessons Learned,,HackerNoon.com,9 min read,"Apr 12,",2018,16.7K,42 responses
If Programming Languages Had Honest Slogans,,Better Programming,3 min read,"Apr 20,",2020,11.3K,78 responses
515 Free Online Programming & Computer Science Courses You Can Start in April,,We’ve moved to freeCodeCamp.org/news,31 min read,"Apr 5,",2017,2.5K,24 responses
Follow these steps to solve any Dynamic Programming interview problem,,We’ve moved to freeCodeCamp.org/news,13 min read,"Jun 7,",2018,12K,16 responses
"9 Free Programming Courses by Harvard, MIT, IBM, Google, and Microsoft",,hashmap,6 min read,"Dec 27,",2019,6.7K,34 responses
438 Free Online Programming & Computer Science Courses You Can Start in May,,We’ve moved to freeCodeCamp.org/news,26 min read,"May 3,",2017,2.1K,16 responses
10 Great Programming Projects to Improve Your Resume and Learn to Program,,Better Programming,8 min read,"Jun 12,",2019,7.2K,14 responses
The Rise and Fall and Rise of Functional Programming (Composing Software),,JavaScript Scene,7 min read,"Feb 19,",2017,7.6K,33 responses
How to Learn a New Programming Language or Framework,,HackerNoon.com,3 min read,"Feb 12,",2018,10K,24 responses
30 Things I Wish I Knew When I Started Programming,,Better Programming,12 min read,"Jul 23,",2019,9.3K,41 responses
Javascript and Functional Programming: An Introduction,,HackerNoon.com,5 min read,"Nov 27,",2017,10K,21 responses
How to understand any programming task,,We’ve moved to freeCodeCamp.org/news,12 min read,"Sep 19,",2018,10K,24 responses
I’m Programming on a Macbook and Here Are the Tools That Make My Life Easier,,Level Up Coding,17 min read,"Jan 9,",2020,5.9K,25 responses
,,JavaScript Scene,14 min read,"Dec 13,",2014,4.6K,11 responses
These Modern Programming Languages Will Make You Suffer,,Better Programming,46 min read,"Dec 7,",2020,7.5K,
“I Want to Learn Programming but I Don’t Know where to Start”,,codeburst,7 min read,"Dec 12,",2017,8.4K,54 responses
Programming Habits You Should Adopt,,Level Up Coding,5 min read,"Jan 9,",2020,6.2K,26 responses
Kadane’s Algorithm — (Dynamic Programming) — How and Why does it Work?,,,6 min read,"Dec 31,",2018,6.6K,35 responses
A 101 Noob Intro to Programming Smart Contracts on Ethereum,,,28 min read,"Oct 29,",2015,6.7K,41 responses
Top 7 Modern programming languages to learn now,,Towards Data Science,18 min read,"Dec 24,",2019,4.4K,18 responses
How To Learn Any New Programming Language Quickly,,Better Programming,5 min read,"Nov 3,",2019,5.1K,22 responses
How to explain object-oriented programming concepts to a 6-year-old,,We’ve moved to freeCodeCamp.org/news,7 min read,"Jun 28,",2018,9.8K,25 responses
How is computer programming different today than 20 years ago?,I saw a question on Quora asking this and I started to write an answer. But it got so long that I converted into a post here.,,4 min read,"Jan 9,",2020,7K,45 responses
Make Passive Income Programming — 5 Incomes for Software Developers,,The Startup,11 min read,"Nov 12,",2020,4.99K,26 responses
Why Learn Functional Programming in JavaScript?,,JavaScript Scene,10 min read,"Feb 20,",2017,6.2K,35 responses
,,Mike’s blog,12 min read,"Jul 7,",2015,4.2K,60 responses
6 Programming Habits That (Surprisingly) Not Many Developers Have,,Better Programming,5 min read,"May 19,",2020,5.1K,23 responses
What programming language has the happiest developers?,,The Startup,3 min read,"May 2,",2020,5.1K,68 responses
5 points to improve your programming logic,,HackerNoon.com,3 min read,"Feb 10,",2018,5.9K,25 responses
500 Free Online Programming & Computer Science Courses You Can Start in September,,We’ve moved to freeCodeCamp.org/news,30 min read,"Sep 6,",2017,5.7K,7 responses
Functional Programming for JavaScript People,"(Japanese, Chinese)",,17 min read,"Feb 29,",2016,2K,56 responses
Let’s explore the universe of programming resources together,,We’ve moved to freeCodeCamp.org/news,5 min read,"May 12,",2016,1.5K,53 responses
Top 10 In-Demand programming languages to learn in 2020,,Towards Data Science,21 min read,"Feb 4,",2020,3.3K,21 responses
7 Important Lessons About Programming That I’ve Learned at 17,,Better Programming,5 min read,"May 23,",2019,6.5K,48 responses
This free course can teach you music programming basics in less than an hour,,We’ve moved to freeCodeCamp.org/news,3 min read,"May 11,",2017,1.2K,18 responses
Top 3 most popular programming languages in 2018 (and their annual salaries),,HackerNoon.com,4 min read,"Aug 31,",2018,5.3K,36 responses
Make your code easier to read with Functional Programming,,Frontend Essentials,4 min read,"Mar 18,",2018,6.6K,22 responses
"Programming Skills, A Complete Roadmap for Learning Data Science — Part 1",,vickdata,5 min read,"Sep 10,",2018,4.4K,16 responses
A practical guide to learning the basics of web programming,,,6 min read,"Aug 9,",2017,5.3K,21 responses
Women pioneered computer programming. Then men took their industry over.,,Timeline,5 min read,"May 16,",2017,3.9K,57 responses
Object-Oriented Programming is The Biggest Mistake of Computer Science,,,17 min read,Jan 4,,5.1K,
Dynamic Programming vs Divide-and-Conquer,,ITNEXT,10 min read,"Jun 15,",2018,5.8K,18 responses
Demystifying Dynamic Programming,,We’ve moved to freeCodeCamp.org/news,16 min read,"Aug 1,",2017,6.2K,32 responses
Why developers are falling in love with functional programming,,Towards Data Science,7 min read,"Aug 6,",2020,3K,48 responses
Functional Programming In JavaScript — With Practical Examples (Part 1),,We’ve moved to freeCodeCamp.org/news,9 min read,"Nov 14,",2016,3.5K,17 responses
An introduction to Object-Oriented Programming in JavaScript,,We’ve moved to freeCodeCamp.org/news,9 min read,"Nov 15,",2018,5.4K,19 responses
Basics of parallel programming with Swift,Parallel programming with Swift: Basics,Archived — Flawless iOS,15 min read,"Dec 20,",2017,7.4K,18 responses
6 Programming Jokes That Will Make You LOL,We all like jokes that are cracked at the expense of someone else’s code.,Level Up Coding,4 min read,"Aug 25,",2020,4.3K,21 responses
Declarative vs Imperative Programming,,codeburst,4 min read,"Feb 21,",2017,6.4K,25 responses
Pair Programming Guide,,,8 min read,"Jan 25,",2018,4.99K,13 responses
20 Programming Jokes You Can Understand Even if You Are Not a Programmer,,JavaScript in Plain English,4 min read,"Dec 15,",2020,4.1K,23 responses
Imperative vs Declarative Programming,,We’ve moved to freeCodeCamp.org/news,8 min read,"Jul 13,",2016,2K,53 responses
Top 50 Dynamic Programming Practice Problems,,Techie Delight,3 min read,"Aug 4,",2018,5.1K,10 responses
Programming is hard.,,The Startup,5 min read,"Mar 3,",2019,5.9K,33 responses
Top 4 Dying Programming Languages of 2020,,Level Up Coding,5 min read,"Sep 7,",2020,2.6K,
Ten Tips to Save you Time and Frustration When Programming ⏳,,Towards Data Science,8 min read,"Feb 18,",2020,2.3K,4 responses
How a simple mix of object-oriented programming can sharpen your deep learning prototype,,Towards Data Science,11 min read,"Jul 6,",2019,2.8K,9 responses
30 Programming Jokes That Will Make You Laugh,,JavaScript in Plain English,5 min read,"Oct 16,",2020,3.3K,8 responses
"Less Repetition, More Dynamic Programming",,basecs,17 min read,"Oct 24,",2017,5.4K,15 responses
10 Steps to Solving a Programming Problem,,codeburst,11 min read,"Aug 1,",2017,4.1K,24 responses
My Competitive Programming Journey To Google,,,9 min read,"Apr 6,",2019,6.4K,14 responses
5 Free Object-Oriented Programming Online Courses for Programmers,,The Startup,8 min read,"Jan 6,",2019,2.9K,12 responses
How You Can Improve Your Programming Skills,,Better Programming,4 min read,"Oct 24,",2019,2.5K,6 responses
Functional Programming for Android Developers — Part 1,,We’ve moved to freeCodeCamp.org/news,7 min read,"Feb 20,",2017,1.8K,12 responses
Top 7 Programming Languages & Frameworks To Learn in 2020 That will Still be Relevant In 5+ Years,,The Startup,12 min read,"Jan 15,",2020,2.2K,36 responses
440+ Free Online Programming & Computer Science Courses You Can Start in February,,We’ve moved to freeCodeCamp.org/news,17 min read,"Jan 31,",2018,4K,2 responses
How to Get Better at Solving Programming Problems,,Level Up Coding,6 min read,"Jul 29,",2020,2.8K,11 responses
A Python Substitute? I Tried Out the Best Programming Language You’ve Never Heard Of,,Better Programming,10 min read,"Jul 18,",2020,2.4K,36 responses
12 Great Ideas for Programming Projects That People Will Use,,Better Programming,10 min read,"Apr 22,",2020,3.1K,3 responses
Writing your own programming language and compiler with Python,,,7 min read,"Jun 29,",2018,4.3K,34 responses
VS Code extensions that make me fall love in programming each day,,codeburst,9 min read,"May 1,",2020,2.6K,11 responses
The Coders Programming Themselves Out of a Job,,The Atlantic,10 min read,"Oct 3,",2018,4.5K,17 responses
The Rise and Fall of Object Oriented Programming,,Machine Words,9 min read,"Nov 20,",2018,3.4K,44 responses
Is the Golden Age of Programming Over?,,Young Coder,6 min read,"Aug 10,",2020,2.9K,32 responses
What is Reactive Programming?,,RedElastic,14 min read,"Aug 20,",2014,2K,16 responses
Interactive Go programming with Jupyter,,,4 min read,"Apr 16,",2018,3.8K,9 responses
Parallel programming with Swift: Promises,,Archived — Flawless iOS,8 min read,"Mar 22,",2018,4.3K,5 responses
A guide to asynchronous programming in Python with asyncio,,We’ve moved to freeCodeCamp.org/news,5 min read,"Jun 10,",2017,3.8K,6 responses
An Introduction to Functional Programming Style in JavaScript,,,7 min read,"Nov 29,",2018,3.8K,13 responses
the Origins of Opera and the Future of Programming,,The Composition,16 min read,"Apr 16,",2018,5.6K,28 responses
Mathematical Functions vs. Programming Functions,,The Accepted Forest,4 min read,"Aug 23,",2017,3K,20 responses
The Programming Language I’m Looking For,,HackerNoon.com,9 min read,"Sep 24,",2018,3.6K,76 responses
How To Unlearn Your Old Negative Programming,,Publishous,7 min read,"Aug 22,",2019,3.7K,10 responses
Introduction to Protocol Oriented Programming in Swift,,Bob the Developer,4 min read,"Nov 23,",2016,1.7K,23 responses
11 Best Programming Fonts,There are many posts and sites comparing fonts for programming and they are all amazing articles. So why I repeated the same subject here? Since I always found myself lost in dozens of fonts and could not figuer out which one was best for me. So today I tried many fonts and picked…,ITNEXT,5 min read,"May 15,",2018,3.1K,50 responses
Javascript and Functional Programming — Pt.2 : First Class Functions,,HackerNoon.com,5 min read,"Dec 4,",2017,4.4K,15 responses
5 Most Difficult Programming Languages in the World,,Level Up Coding,6 min read,"Oct 13,",2020,2.9K,28 responses
Greedy Algorithm and Dynamic Programming,"In an algorithm design, there is no one ‘silver bullet’ that is a cure for all…",Data Notes,15 min read,"Oct 16,",2018,2.1K,2 responses
The Art of Programming,"One of the most consolidated misconceptions about programming, since the early days, is the idea that such activity is purely technical, completely exact in nature, like Math and Physics. Computation is exact, but programming is not. The first is a result of a machine operation, and the…",Art of Programming,3 min read,"Dec 15,",2014,775,5 responses
Programming Is Taught in Exactly the Wrong Way,,,6 min read,"Oct 23,",2018,4.1K,38 responses
Reactive Programming — Streams — BLoC,"Introduction to the notions of Streams, Bloc and Reactive Programming. Theory and practical…",Flutter Community,18 min read,"Sep 1,",2018,5K,23 responses
Switching from OOP to Functional Programming,Why functional programming is so hard?,,10 min read,"Jan 8,",2019,3.2K,23 responses
What is better — Functional programming or Object Oriented?,,hashmap,5 min read,"Feb 26,",2019,3.2K,27 responses
Why CS students *must* learn C++ as their main programming language,,,8 min read,"Aug 23,",2017,3.9K,56 responses
Object-Oriented Programming Concepts “In Simple English”,,,6 min read,"Jun 10,",2018,2.6K,19 responses
10 Programming Terms in Normal Human Language,,hashmap,4 min read,"Mar 1,",2019,2.6K,29 responses
Functional Programming in JavaScript,"In this article, we will learn about declarative pattern, pure function, Immutability and side…",codeburst,5 min read,"Mar 18,",2018,4.1K,11 responses
Go Programming Language for Artificial Intelligence and Data Science of the 20s,,Towards Data Science,4 min read,"Oct 10,",2020,1.5K,29 responses
How To Learn a New Programming Language Fast,,Better Programming,6 min read,"Aug 27,",2019,2.4K,7 responses
Object-oriented programming for data scientists: Build your ML estimator,,Towards Data Science,13 min read,"Jul 10,",2019,2.1K,7 responses
"Learning Programming Isn’t That Hard, Deep Work Is Hard",I just finished Deep Work by Cal Newport. In it he argues that there are two types of work: deep work and shallow work…,,2 min read,"Feb 29,",2016,882,38 responses
My favorite examples of functional programming in Kotlin,,We’ve moved to freeCodeCamp.org/news,6 min read,"Jan 8,",2018,2.5K,9 responses
7 Sites To Help You Focus While Programming,,Statuscode,5 min read,"Jun 3,",2016,1K,28 responses
What exactly is functional programming?,,hashmap,5 min read,"Jun 14,",2019,2.4K,7 responses
Hard-Earned Android Programming Experiences,,We’ve moved to freeCodeCamp.org/news,5 min read,"Jul 7,",2016,798,13 responses
What programming language should I pick? Should I focus on front-end? Back-end? Machine learning?,,We’ve moved to freeCodeCamp.org/news,1 min read,"Sep 21,",2017,3.1K,12 responses
Recursion is not hard: a step-by-step walkthrough of this useful programming technique,,We’ve moved to freeCodeCamp.org/news,6 min read,"Aug 6,",2018,2.2K,10 responses
The Best Programming Languages to Learn in 2021,,Quick Code,8 min read,May 21,,1.5K,41 responses
Python Has Brought Computer Programming to a Vast New Audience,,,5 min read,"Jul 23,",2018,2.8K,15 responses
The Slowest Modern Programming Languages,,Better Programming,5 min read,Jan 19,,1.7K,61 responses
Functional programming in Javascript is an antipattern,,HackerNoon.com,10 min read,"Jun 19,",2017,1.6K,56 responses
JavaScript without “this” looks like a better functional programming language,,Frontend Essentials,5 min read,"Jan 9,",2019,3.5K,25 responses
A Brief Totally Accurate History Of Programming Languages,,Commit Log,5 min read,"May 23,",2019,3.1K,23 responses
Speeding Up The Traveling Salesman Using Dynamic Programming,,basecs,15 min read,"Nov 13,",2017,3.6K,7 responses
PHP is not a programming language,"Over the last years, PHP hasn’t gained a very good reputation, instead it has always been criticized…",Spark-it,4 min read,"Jan 3,",2019,3K,40 responses
Lambdas are not functional programming,"No-one in Java-land is doing functional programming, and that is a good thing.",,9 min read,"Nov 21,",2018,2.3K,23 responses
Defensive Programming Grows Up,,LeadingAgile Field Notes,17 min read,"Jun 18,",2018,3.1K,12 responses
A Gentler Introduction to Programming,,We’ve moved to freeCodeCamp.org/news,24 min read,"Oct 13,",2017,4.4K,11 responses
Finding it difficult to learn programming? Here’s why.,,Towards Data Science,7 min read,"Dec 29,",2020,1.8K,14 responses
Functional Programming Principles in Javascript,,We’ve moved to freeCodeCamp.org/news,12 min read,"Dec 17,",2018,3.1K,15 responses
Elements of Functional Programming in Python,,Towards Data Science,9 min read,"Jul 12,",2019,1.5K,3 responses
How Programming Affects Your Brain: 3 Big Truths Backed by Science,,JavaScript in Plain English,5 min read,May 19,,2.1K,12 responses
Protocol Oriented Programming View in Swift 4,,Bob the Developer,4 min read,"Jan 18,",2017,853,19 responses
Why Crystal is the most promising programming language of 2018,"Years ago a number of developers had the collective thought experiment “what if we took Ruby-like syntax and wrote a fast-as-C, general-purpose, typed language that (like C/C++) compiles to native binaries on any platform…",,6 min read,"Jan 24,",2018,3.3K,25 responses
Which Programming Language Should You Learn Next?,,We’ve moved to freeCodeCamp.org/news,8 min read,"Jan 9,",2019,2.3K,34 responses
Concepts of Functional Programming in Javascript,,The Renaissance Developer,12 min read,"Nov 26,",2018,2.1K,9 responses
How to solve the Knapsack Problem with dynamic programming,,,6 min read,"Mar 28,",2019,1.6K,9 responses
Functional vs Object-Oriented vs Procedural Programming,"During an interview this week I’ve been asked “what is the difference between Functional, Object-Oriented and Procedural Programming” and to be honest I did not really know how to answer to that question (and it was the first time I…",,3 min read,"Oct 30,",2017,2.1K,10 responses
Object-oriented programming in vanilla JavaScript,,HackerNoon.com,6 min read,"Oct 17,",2017,2.4K,12 responses
Recursive Programming,,Towards Data Science,10 min read,"Jan 17,",2019,2.8K,6 responses
How To Do Object Oriented Programming The Right Way,,codeburst,16 min read,"Jun 10,",2018,2.4K,9 responses
3 Programming Books Every Data Scientist Must Read,,Towards Data Science,5 min read,"Sep 13,",2020,762,
Programming with a love of the implicit,It’s always better to be explicit! That’s pretty much a programming truism. Rarely…,Signal v. Noise,3 min read,"May 2,",2017,501,24 responses
,,MIT MEDIA LAB,3 min read,"May 17,",2016,505,11 responses
The Only Programming Interview Question You Need to Prepare For,,Better Programming,7 min read,Apr 30,,1.7K,2 responses
"Anyway, stop recommending bazookas to kill flies in programming","There’s something that really annoys me in the programming community, and I’ll illustrate this using Vue examples, though it concerns programming in general.",ITNEXT,4 min read,"Aug 24,",2018,2.8K,21 responses
"10 Ultimate Programming Jokes, by the Programmers for the Programmers",,Level Up Coding,5 min read,Jul 1,,1.7K,14 responses
Programming Books that Don’t Exist (But We’ve All Read),,Young Coder,5 min read,Mar 11,,1.6K,22 responses
Programming for personal growth,,,9 min read,"Jun 23,",2018,3.1K,12 responses
Change the signs: how to use dynamic programming to solve a competitive programming question,,We’ve moved to freeCodeCamp.org/news,10 min read,"Jun 2,",2018,1.7K,5 responses
How to teach programming to teenagers,,We’ve moved to freeCodeCamp.org/news,6 min read,"Oct 8,",2018,2.2K,15 responses
How to start writing high quality code at any point of your programming journey,,The Andela Way,9 min read,"May 12,",2017,894,10 responses
Stop Wasting Time: Pair Programming Rocks,,JavaScript Scene,4 min read,"Nov 19,",2016,561,20 responses
The Top 10 Programming Blogs in 2020,,Better Programming,6 min read,"Aug 27,",2020,1.1K,10 responses
Why functional programming matters,,HackerNoon.com,10 min read,"Mar 21,",2017,1.6K,15 responses
Linear programming and discrete optimization with Python using PuLP,,Towards Data Science,11 min read,"Apr 20,",2019,1.6K,10 responses
Why Every Developer Should Start Programming With C,,Better Programming,4 min read,Apr 29,,1.4K,17 responses
Want to Learn a New Programming Language? Consider Go (Golang).,,The Startup,8 min read,"Dec 14,",2019,1.1K,3 responses
20 Amazing Java Project Ideas That Will Boost Your Programming Career,,Javarevisited,10 min read,"Oct 3,",2020,1.3K,4 responses
Why you are never too old to learn Java (or any programming language),,We’ve moved to freeCodeCamp.org/news,7 min read,"Apr 24,",2019,2.3K,16 responses
"So, I Created a Programming Language",,Young Coder,7 min read,"Aug 29,",2019,2.4K,10 responses
A Complete List of Computer Programming Languages,,Web Development Zone,20 min read,"Mar 18,",2017,1.8K,32 responses
Do You Know How to Solve These Programming Problems?,,Better Programming,5 min read,"Dec 20,",2019,1.2K,10 responses
A graphical introduction to dynamic programming,,,14 min read,"Apr 16,",2019,1.6K,5 responses
How to Solve Any Dynamic Programming Problem,,Pramp Blog | Coding Interview & Job Search Resources for Developers,5 min read,"Aug 17,",2017,2.2K,8 responses
Intro to web programming in Rust for NodeJS developers,,Level Up Coding,6 min read,"Mar 10,",2019,1.8K,3 responses
Parallel programming with Swift: Operations,,Archived — Flawless iOS,8 min read,"Jan 31,",2018,2.2K,5 responses
Finding Programming Boring? Here Are 5 Ways to Make It Enjoyable,,Better Programming,5 min read,"Nov 1,",2019,2.1K,5 responses
The Psychology of Pair Programming,,We’ve moved to freeCodeCamp.org/news,6 min read,"May 15,",2019,1.91K,9 responses
What is Component-Oriented Programming (COP)?,,Better Programming,4 min read,"Sep 13,",2019,1.6K,16 responses
An intro to Algorithms: Dynamic Programming,,We’ve moved to freeCodeCamp.org/news,6 min read,"Apr 30,",2019,1.3K,3 responses
Jon Skeet — The Chuck Norris of Programming,,We’ve moved to freeCodeCamp.org/news,6 min read,"Mar 21,",2016,1.2K,18 responses
Why Is C# Among The Most Popular Programming Languages in The World?,,SoloLearn,4 min read,"Oct 13,",2017,2.2K,6 responses
Financial forecasting with probabilistic programming and Pyro,,,10 min read,"Feb 1,",2018,1.7K,7 responses
How I went from failure to success in programming and what got me there,,We’ve moved to freeCodeCamp.org/news,11 min read,"Apr 30,",2018,2.4K,10 responses
An introduction to the basic principles of Functional Programming,,We’ve moved to freeCodeCamp.org/news,12 min read,"Nov 16,",2018,2.3K,5 responses
Panduan Komplit Asynchronous Programming pada Javascript — Part #1,,Coderupa,4 min read,"Jul 24,",2017,2K,18 responses
"The Object-Oriented Programming vs Functional Programming debate, in a beginner-friendly nutshell",What Hogwarts house do you belong to? Are you team Jacob or team Edward? Mayweather or McGregor? Which house in Game of Thrones do you pledge your allegiance to…,,5 min read,"Aug 25,",2017,2K,9 responses
"Free Tutorial Mega-List: How to Build Your Own Cryptocurrency, Operating System, Programming Language, and More",,We’ve moved to freeCodeCamp.org/news,6 min read,"May 14,",2018,2.6K,6 responses
Functional Programming for Android Developers — Part 2,,We’ve moved to freeCodeCamp.org/news,8 min read,"Feb 27,",2017,1K,8 responses
Finding Fulfillment in Coding: Which Programming Role Is Right for You?,,The Startup,6 min read,"Aug 27,",2020,1.5K,5 responses
The Best Advice I’ve Ever Received on How to Learn Programming Languages and Concepts Quickly,,Better Programming,4 min read,"Mar 10,",2020,1.5K,7 responses
Coroutines and RxJava — An Asynchronicity Comparison (Part 1): Asynchronous Programming,,Capital One Tech,6 min read,"Apr 4,",2018,1.8K,10 responses
Preparing for Programming interview with Python,"I have been preparing for a few interviews in tech/finance companies (Google, Goldman Sachs and alike). I am a final year computer science PhD student at National University of Singapore, and my PhD did not have much programming component to it…",,8 min read,"Feb 21,",2017,1.8K,8 responses
Modern Javascript and Asynchronous Programming: Generators/Yield vs. Async/Await,"Since the 6th version of the ECMAScript specification was released back in 2015, there have been several new features introduced or proposed for the JavaScript language that are focused on…",Frontend Weekly,10 min read,"Jan 12,",2018,2.4K,17 responses
"Programming in Rust: the good, the bad, the ugly.",,HackerNoon.com,10 min read,"Mar 11,",2019,1.6K,10 responses
A Beginner’s Guide to Blockchain Programming,I had a lot of questions on my quest to understand how Blockchain works. The…,HackerNoon.com,10 min read,"May 30,",2018,2.1K,8 responses
Stop abusing (virtual) animals when teaching programming,,HackerNoon.com,4 min read,"Jul 11,",2017,506,23 responses
How Protocol Oriented Programming in Swift saved my day?,Object Oriented programming (OOP) has been there in use for decades now and has become the de facto standard to build large software projects. It is at the heart of iOS programming and it is almost impossible to write an iOS…,iOS App Development,4 min read,"Sep 3,",2016,1.5K,8 responses
,,,7 min read,"Jan 17,",2015,1.2K,27 responses
"6 Super cool Websites For Practicing Algorithms, Learning Programming",,Level Up Coding,4 min read,"Jun 2,",2020,1.2K,4 responses
What Non-Programmers Should Know About Programming,,Young Coder,6 min read,"Jan 24,",2020,2.1K,6 responses
Social Programming and The Matrix,,Mission.org,3 min read,"Dec 30,",2016,378,28 responses
Cleaner R Code with Functional Programming,,Towards Data Science,9 min read,"Feb 19,",2019,872,2 responses
Functional Programming is on the rise,,,5 min read,"May 5,",2019,1.5K,11 responses
9 Programming Life Lessons You Must Experience Yourself to Truly Understand,,Better Programming,6 min read,Jul 31,,1.3K,13 responses
Reasons Why Golang is Better Than Other Programming Languages,,Product Coalition,5 min read,"Apr 2,",2019,1K,17 responses
For two years I was coding instead of programming!,,Geek Culture,6 min read,Aug 5,,1.2K,8 responses
Dysfunctional programming in Java I : Laziness,,,6 min read,"Oct 24,",2018,1.1K,7 responses
"JavaScript Functional Programming — map, filter and reduce",,,6 min read,"Oct 25,",2017,2K,7 responses
,,,,"Dec 18,",2020,1.1K,2 responses
22 YouTube Channels To Level Up Your Programming Skills,,Codegiant,19 min read,"Sep 13,",2020,967,16 responses
Rust and the Future of Systems Programming,,Mozilla Tech,2 min read,"Nov 16,",2016,833,2 responses
11 rules of effective programming,,The Startup,8 min read,"Oct 5,",2019,1.6K,4 responses
Parallel programming in JavaScript using Web Workers,,JsPoint,16 min read,"Apr 1,",2018,1.91K,5 responses
Why I Quit My Programming Job,,Better Programming,3 min read,"Aug 5,",2020,1.6K,26 responses
Introducing the Clio programming language,,,8 min read,"Mar 4,",2019,1.99K,27 responses
Mathematical programming — a key habit to build up for advancing in data science,,Towards Data Science,9 min read,"Apr 15,",2019,1K,5 responses
25 Software Design Interview Questions to Crack Any Programming and Technical Interviews,,Javarevisited,11 min read,"Apr 27,",2020,960,3 responses
Learn Solidity — The Ethereum smart contract programming language,,,2 min read,"Jan 12,",2018,2.1K,12 responses
Functional Programming is not weird: you just need some new patterns,,,9 min read,"Feb 29,",2016,353,23 responses
The Good and the Bad of Java Programming,,HackerNoon.com,11 min read,"Sep 21,",2018,1K,18 responses
Event-Driven Programming with NodeJS Net and Events.,,CloudBoost,7 min read,"Oct 9,",2018,1.3K,2 responses
10+ Best Go Programming Tutorials for beginners — Learn Golang Online,,Quick Code,13 min read,"Mar 5,",2018,1.7K,
10 Programming Books you Need to Read,,Full-Stack tips,4 min read,"Jun 22,",2018,1.2K,12 responses
Python 101: Object Oriented Programming part 1,,The Renaissance Developer,4 min read,"Jun 26,",2017,1.3K,11 responses
Functional Programming is AWESOME,,Towards Data Science,5 min read,"Dec 21,",2019,821,4 responses
Functional Programming for Android Developers — Part 3,,We’ve moved to freeCodeCamp.org/news,5 min read,"Jun 6,",2017,1K,4 responses
How To Restore Your Passion for Programming,,Better Programming,4 min read,"Nov 26,",2019,1.5K,10 responses
Bash Scripting: Everything you need to know about Bash-shell programming,,System Failure,40 min read,"Sep 8,",2019,1.3K,6 responses
Dart asynchronous programming: Isolates and event loops,,Dart,5 min read,"Jul 25,",2019,1.92K,7 responses
API-First Programming on the Front End,"An API is an agreement between parts of a program, between providers and consumers of some…",ITNEXT,6 min read,"Dec 21,",2018,1.5K,8 responses
Making a large scale app with vue.js (part 2): a little bit of Object Oriented Programming.,,,8 min read,"Nov 8,",2018,2.1K,20 responses
